count	compound	concentration	minflux	maxflux
     50 cpd00001	H2O	H2O	-100	100	0.001
     50 cpd00007	O2	O2	-100	10	0.001
     50 cpd00009	Phosphate	HO4P	-100	100	0.001
     50 cpd00013	NH3	H4N	-100	100	0.001
     26 cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	-100	100	0.001
     50 cpd00027	D-Glucose	C6H12O6	-100	5	0.001
     50 cpd00030	Mn2+	Mn	-100	100	0.001
     50 cpd00034	Zn2+	Zn	-100	100	0.001
     46 cpd00039	L-Lysine	C6H15N2O2	-100	100	0.001
     50 cpd00048	Sulfate	O4S	-100	100	0.001
     38 cpd00051	L-Arginine	C6H15N4O2	-100	100	0.001
      9 cpd00054	L-Serine	C3H7NO3	-100	100	0.001
     50 cpd00058	Cu2+	Cu	-100	100	0.001
     26 cpd00060	L-Methionine	C5H11NO2S	-100	100	0.001
     50 cpd00063	Ca2+	Ca	-100	100	0.001
     50 cpd00067	H+	H	-100	100	0.001
     34 cpd00084	L-Cysteine	C3H7NO2S	-100	100	0.001
     50 cpd00099	Cl-	Cl	-100	100	0.001
     48 cpd00107	L-Leucine	C6H13NO2	-100	100	0.001
      3 cpd00118	Putrescine	C4H14N2	-100	100	0.001
     18 cpd00129	L-Proline	C5H8NO2	-100	100	0.001
      3 cpd00132	L-Asparagine	C4H8N2O3	-100	100	0.001
     50 cpd00149	Co2+	Co	-100	100	0.001
     50 cpd00205	K+	K	-100	100	0.001
      6 cpd00218	Niacin	C6H4NO2	-100	100	0.001
      1 cpd00220	Riboflavin	C17H20N4O6	-100	100	0.001
     50 cpd00244	Ni2+	Ni	-100	100	0.001
     50 cpd00254	Mg	Mg	-100	100	0.001
      9 cpd00264	Spermidine	C7H22N3	-100	100	0.001
      6 cpd00305	Thiamin	C12H17N4OS	-100	100	0.001
     48 cpd00322	L-Isoleucine	C6H13NO2	-100	100	0.001
     20 cpd00635	Cbl	C62H89CoN13O14P	-100	100	0.001
      1 cpd00644	PAN	C9H16NO5	-100	100	0.001
     50 cpd00971	Na+	Na	-100	100	0.001
     50 cpd10515	Fe2+	Fe	-100	100	0.001
     50 cpd10516	fe3	Fe	-100	100	0.001
     50 cpd11574	Molybdate	H2MoO4	-100	100	0.001
